District,Count,Capacity,,Mandal,Count,Capacity,,Village,Count,Capacity,,Basin,Count,Capacity,,Subbasin,Count,Capacity,,Microbasin,Count,Capacity
,,,,KUPPAM,107,0.037771,,Banjarukesupuram,1,0.000353,,,,,,,,,,912,2,0.000706
,,,,KURABALAKOTA,79,0.027887,,Bankuruvalasa,1,0.000353,,,,,,,,,,914,3,0.001059
,,,,KURICHEDU,16,0.005648,,Bantukotturu,10,0.00353,,,,,,,,,,916,3,0.001059
,,,,KURNOOL,13,0.004589,,Banumukkala,1,0.000353,,,,,,,,,,919,3,0.001059
,,,,KURUPAM,23,0.008119,,Bapiraju kothapalle,3,0.001059,,,,,,,,,,920,6,0.002118
,,,,LAKKAVARAPUKOTA,20,0.00706,,Bapuram,1,0.000353,,,,,,,,,,923,2,0.000706
,,,,LAKKIREDDIPALLE,43,0.015179,,Basangi,1,0.000353,,,,,,,,,,925,2,0.000706
,,,,LAKSHMINARSUPETA,14,0.004942,,Basapuram,12,0.004236,,,,,,,,,,930,2,0.000706
,,,,LAVERU,43,0.015179,,Basavanahalli,1,0.000353,,,,,,,,,,931,3,0.001059
,,,,LEPAKSHI,11,0.003883,,Basine Palle,1,0.000353,,,,,,,,,,935,3,0.001059
,,,,LINGALA,8,0.002824,,Basivalasa,2,0.000706,,,,,,,,,,936,1,0.000353
,,,,LINGAPALEM,1,0.000353,,Batchalakurapadu,7,0.002471,,,,,,,,,,937,6,0.002118
,,,,LINGASAMUDRAM,22,0.007766,,Bathalur,1,0.000353,,,,,,,,,,939,3,0.001059
,,,,MACHAVARAM,2,0.000706,,Battamdoddi,13,0.004589,,,,,,,,,,941,5,0.001765
,,,,MACHERLA,4,0.001412,,Battepadu,1,0.000353,,,,,,,,,,943,1,0.000353
,,,,MADAKASIRA,12,0.004236,,Battili,2,0.000706,,,,,,,,,,945,7,0.002471
,,,,MADANAPALLE,45,0.015885,,Battupadu,2,0.000706,,,,,,,,,,1001,16,0.005648
,,,,MADDIKERA (EAST),19,0.006707,,Bayyanagudem,4,0.001412,,,,,,,,,,1002,11,0.003883
,,,,MADDIPADU,2,0.000706,,Bayyappagaripalle,1,0.000353,,,,,,,,,,1003,22,0.007766
,,,,MADUGULA,1,0.000353,,Bedrahalli,4,0.001412,,,,,,,,,,1004,39,0.013767
,,,,MAKAVARAPALEM,6,0.002118,,Bedusu Palle,4,0.001412,,,,,,,,,,1005,22,0.007766
,,,,MAKKUVA,1,0.000353,,Beechiganipalle,1,0.000353,,,,,,,,,,1006,11,0.003883
,,,,MANDASA,119,0.042007,,Beedupalle,4,0.001412,,,,,,,,,,1007,17,0.006001
,,,,MANTRALAYAM,40,0.01412,,Beera Kuppam,1,0.000353,,,,,,,,,,1008,65,0.022945
,,,,MAREDUMILLI,2,0.000706,,Beggilipalle,3,0.001059,,,,,,,,,,1009,78,0.027534
,,,,MARKAPUR,32,0.011296,,Bejjipuram,4,0.001412,,,,,,,,,,1010,2,0.000706
,,,,MARRIPADU,14,0.004942,,Belagallu,9,0.003177,,,,,,,,,,1011,7,0.002471
,,,,MARRIPUDI,43,0.015179,,Belagam,4,0.001412,,,,,,,,,,1012,35,0.012355
,,,,MARTUR,42,0.014826,,Belamam,2,0.000706,,,,,,,,,,1013,79,0.027887
,,,,MELIAPUTTI,41,0.014473,,Beldona,2,0.000706,,,,,,,,,,1014,58,0.020474
,,,,MENTADA,7,0.002471,,Bellupada,1,0.000353,,,,,,,,,,1015,53,0.018709
,,,,MERAKAMUDIDAM,17,0.006001,,Bellupatia,3,0.001059,,,,,,,,,,1016,6,0.002118
,,,,MIDTHUR,8,0.002824,,Belodu,1,0.000353,,,,,,,,,,1017,46,0.016238
,,,,MUDDANUR,33,0.011649,,Beluguppa,3,0.001059,,,,,,,,,,1018,7,0.002471
,,,,MUDIGUBBA,24,0.008472,,Belumsingavaram,1,0.000353,,,,,,,,,,1019,9,0.003177
,,,,MULAKALACHERUVU,59,0.020827,,Belupalle,1,0.000353,,,,,,,,,,1020,16,0.005648
